Player;Pos;Age;Team
Ramiz Zerrouki;MF;26;Feyenoord
Santiago Giménez;FW;23;Feyenoord
Julián Carranza;FW;24;Feyenoord
Quilindschy Hartman;DF;22;Feyenoord
Ibrahim Osman;MF,FW;19;Feyenoord
Calvin Stengs;MF,FW;25;Feyenoord
Jordan Lotomba;DF;25;Feyenoord
Bart Nieuwkoop;DF,MF;28;Feyenoord
Luka Ivanušec;MF,FW;25;Feyenoord
Justin Bijlow;GK;26;Feyenoord
Lutsharel Geertruida;DF;24;Feyenoord
Oussama Targhalline;MF;22;Feyenoord
Gjivai Zechiël;MF;20;Feyenoord
Zepiqueno Redmond;FW;18;Feyenoord
Chris Nadje;MF;22;Feyenoord
Neraysho Kasanwirjo;DF;22;Feyenoord
Plamen Andreev;GK;19;Feyenoord
Marcos López;MF;24;Feyenoord
Aymen Sliti;FW;18;Feyenoord
Facundo González;DF;21;Feyenoord
Stephano Carrillo;FW;18;Feyenoord
Shiloh ’t Zand;MF;21;Feyenoord
Jeyland Mitchell;DF;19;Feyenoord
Marcus Pedersen;DF,MF;24;Feyenoord
Djomar Giersthove;DF;19;Feyenoord
Jan Plug;DF;19;Feyenoord
Manuel Locatelli;MF;26;Juventus
Michele Di Gregorio;GK;27;Juventus
Kenan Yıldız;MF;19;Juventus
Weston McKennie;MF,DF;25;Juventus
Khéphren Thuram;MF;23;Juventus
Federico Gatti;DF;26;Juventus
Pierre Kalulu;DF;24;Juventus
Andrea Cambiaso;DF,MF;24;Juventus
Teun Koopmeiners;MF;26;Juventus
Nicolás González;MF,FW;26;Juventus
Dušan Vlahović;FW;24;Juventus
Nicolò Savona;DF;21;Juventus
Timothy Weah;MF,DF;24;Juventus
Randal Kolo Muani;FW;25;Juventus
Francisco Conceição;MF;21;Juventus
Renato Veiga;DF;21;Juventus
Lloyd Kelly;DF;25;Juventus
Samuel Mbangula;MF;20;Juventus
Danilo;DF;33;Juventus
Gleison Bremer;DF;27;Juventus
Juan David Cabal;DF;23;Juventus
Nicolò Fagioli;MF;23;Juventus
Mattia Perin;GK;31;Juventus
Douglas Luiz;MF;26;Juventus
Alberto costa;DF,MF;20;Juventus
Jonas Rouhi;DF;20;Juventus
Vasilije Adžić;MF;18;Juventus
Diego Pugno;DF;18;Juventus
Lorenzo Anghelè;FW;19;Juventus
Giovanni Daffara;GK;19;Juventus
Javier Gil;DF;18;Juventus
Alfonso Montero;DF;17;Juventus
Augusto Owusu;DF;19;Juventus
Filippo Pagnucco;DF;18;Juventus
Christos Papadopoulos;MF;19;Juventus
Carlo Pinsoglio;GK;34;Juventus
Niccolò Rizzo;DF;17;Juventus
Riccardo Turicchia;DF;21;Juventus
Callum McGregor;MF;31;Celtic
Kasper Schmeichel;GK;37;Celtic
Alistair Johnston;DF;25;Celtic
Daizen Maeda;FW;26;Celtic
Cameron Carter-Vickers;DF;26;Celtic
Reo Hatate;MF;26;Celtic
Arne Engels;MF;20;Celtic
Greg Taylor;DF;26;Celtic
Nicolas-Gerrit Kühn;FW;24;Celtic
Auston Trusty;DF;25;Celtic
Liam Scales;DF;25;Celtic
Adam Idah;FW;23;Celtic
Kyogo Furuhashi;FW,MF;29;Celtic
Luke McCowan;MF;26;Celtic
Paulo Bernardo;MF;22;Celtic
Yang Hyun-jun;FW,MF;22;Celtic
James Forrest;FW,MF;33;Celtic
Anthony Ralston;DF;25;Celtic
Jeffrey Schlupp;DF;31;Celtic
Álex Valle;DF;20;Celtic
Jota;FW;25;Celtic
Viljami Sinisalo;GK;22;Celtic
Maik Nawrocki;DF;23;Celtic
Matt O'Riley;MF;23;Celtic
Luis Enrique Palma;FW;24;Celtic
Johnny Kenny;FW;21;Celtic
Stephen Welsh;DF;24;Celtic
Odin Thiago Holm;MF;21;Celtic
Sean Mcardle;MF;16;Celtic
Michael Johnston;FW,MF;25;Celtic
Jude Bonnar;FW;18;Celtic
Francis Turley;MF;18;Celtic
Scott Bain;GK;32;Celtic
Daniel Cummings;FW;18;Celtic
Colby Donovan;DF;17;Celtic
Tomoki Iwata;DF,MF;27;Celtic
Adam Montgomery;DF;22;Celtic
Dane Murray;DF;21;Celtic
Joško Gvardiol;DF;22;Manchester City
Erling Haaland;FW;24;Manchester City
Bernardo Silva;MF;29;Manchester City
Ederson Moraes;GK;30;Manchester City
Rúben Dias;DF,MF;27;Manchester City
İlkay Gündoğan;MF;33;Manchester City
Mateo Kovačić;MF,DF;30;Manchester City
Manuel Akanji;DF,MF;29;Manchester City
Rico Lewis;DF,MF;19;Manchester City
Sávio;MF,FW;20;Manchester City
Phil Foden;MF,FW;24;Manchester City
Kevin De Bruyne;MF,FW;33;Manchester City
Matheus Nunes;DF,MF;25;Manchester City
Jeremy Doku;MF,FW;22;Manchester City
Omar Marmoush;MF,FW;25;Manchester City
Stefan Ortega;GK;31;Manchester City
Kyle Walker;DF;34;Manchester City
Nicolás González;MF;22;Manchester City
Nathan Aké;DF;29;Manchester City
Jack Grealish;MF,FW;28;Manchester City
John Stones;DF;30;Manchester City
Nico O'Reilly;DF;19;Manchester City
Abdukodir Khusanov;DF;20;Manchester City
James Mcatee;MF;21;Manchester City
Jahmai Simpson-Pusey;DF;18;Manchester City
Rodri;MF;28;Manchester City
Divin Mubama;FW;19;Manchester City
Oscar Bobb;FW,MF;21;Manchester City
Claudio Echeverri;MF;18;Manchester City
Vitor Reis;DF;18;Manchester City
Max Alleyne;DF;19;Manchester City
Thorsten Brits;GK;17;Manchester City
Scott Carson;GK;38;Manchester City
Issa Kaboré;DF,MF;23;Manchester City
Josh Wilson-Esbrand;DF;21;Manchester City
Jacob Wright;MF;18;Manchester City
Francisco Trincão;MF,FW;24;Sporting CP
Viktor Gyökeres;FW;26;Sporting CP
Ousmane Diomande;DF;20;Sporting CP
Geovany Quenda;MF;17;Sporting CP
Morten Hjulmand;MF;25;Sporting CP
Gonçalo Inácio;DF;22;Sporting CP
Zeno Debast;MF,DF;20;Sporting CP
Geny Catamo;MF;23;Sporting CP
Maxi Araújo;MF,DF;24;Sporting CP
Eduardo Quaresma;DF;22;Sporting CP
Rui Silva;GK;30;Sporting CP
Matheus Reis;DF,MF;29;Sporting CP
Daniel Bragança;MF;25;Sporting CP
Hidemasa Morita;MF;29;Sporting CP
Pedro Gonçalves;MF,FW;26;Sporting CP
Franco Israel;GK;24;Sporting CP
Iván Fresneda;MF,DF;19;Sporting CP
Conrad Harder;FW,MF;19;Sporting CP
Vladan Kovačević;GK;26;Sporting CP
Jerry St. Juste;DF;27;Sporting CP
João Simões;MF;17;Sporting CP
Nuno Santos;MF;29;Sporting CP
Ricardo Esgaio;DF;31;Sporting CP
Eduardo Felicíssimo;MF;17;Sporting CP
Marcus Edwards;MF;25;Sporting CP
Alexandre Brito;MF;19;Sporting CP
Mateus Fernandes;MF;20;Sporting CP
Henrique Arreiol;MF;19;Sporting CP
Dario Essugo;MF;19;Sporting CP
Biel;FW,MF;23;Sporting CP
José Silva;DF;18;Sporting CP
Mauro Meireles Couto;FW;18;Sporting CP
Rodrigo Ribeiro;FW;19;Sporting CP
Afonso Moreira;FW;19;Sporting CP
Miguel Alves;DF;18;Sporting CP
Lucas Anjos;FW;20;Sporting CP
Diego Callai;GK;20;Sporting CP
Luís Gomes;FW;20;Sporting CP
Manuel Mendonça;MF;19;Sporting CP
Rafael Nel;FW;19;Sporting CP
Kauã Pinto;MF;20;Sporting CP
Bruno Ramos;DF;19;Sporting CP
Francisco Silva;GK;18;Sporting CP
Gabriel Silva;FW;17;Sporting CP
Brandon Mechele;DF;31;Club Brugge
Hans Vanaken;MF;31;Club Brugge
Simon Mignolet;GK;36;Club Brugge
Christos Tzolis;MF;22;Club Brugge
Maxim De Cuyper;DF;23;Club Brugge
Ardon Jashari;MF;22;Club Brugge
Joel Ordóñez;DF;20;Club Brugge
Raphael Onyedika;MF;23;Club Brugge
Joaquin Seys;DF;19;Club Brugge
Gustaf Nilsson;FW;27;Club Brugge
Hugo Vetlesen;MF;24;Club Brugge
Ferran Jutglà;FW,MF;25;Club Brugge
Kyriani Sabbe;DF;19;Club Brugge
Andreas Skov Olsen;MF,FW;24;Club Brugge
Chemsdine Talbi;MF,FW;19;Club Brugge
Romeo Vermant;FW;20;Club Brugge
Hugo Siquet;DF,MF;22;Club Brugge
Zaid Romero;DF;24;Club Brugge
Casper Nielsen;MF;30;Club Brugge
Nordin Jackers;GK;26;Club Brugge
Jorne Spileers;DF;19;Club Brugge
Michał Skóraś;MF;24;Club Brugge
Bjorn Meijer;DF;21;Club Brugge
Antonio Nusa;MF;19;Club Brugge
Shandre Campbell;MF;19;Club Brugge
Lynnt Audoor;MF;20;Club Brugge
Axl De Corte;GK;18;Club Brugge
Denzel De Roeve;DF;19;Club Brugge
Dani van den Heuvel;GK;21;Club Brugge
Amine Et-Taibi;DF;21;Club Brugge
Kaye Furo;FW;17;Club Brugge
Vince Osuji;DF;18;Club Brugge
Marko Pjaca;MF;29;Dinamo Zagreb
Martin Baturina;MF;21;Dinamo Zagreb
Ronaël Pierre-Gabriel;DF,MF;26;Dinamo Zagreb
Josip Mišić;MF;30;Dinamo Zagreb
Ivan Nevistić;GK;26;Dinamo Zagreb
Kévin Théophile-Catherine;DF;34;Dinamo Zagreb
Sandro Kulenović;FW;24;Dinamo Zagreb
Stefan Ristovski;DF;32;Dinamo Zagreb
Petar Sučić;MF;20;Dinamo Zagreb
Raúl Torrente;DF;22;Dinamo Zagreb
Luka Stojkovic;MF;20;Dinamo Zagreb
Bartol Franjić;DF;24;Dinamo Zagreb
Samy Mmaee;DF;27;Dinamo Zagreb
Arbër Hoxha;MF,DF;25;Dinamo Zagreb
Arijan Ademi;MF;33;Dinamo Zagreb
Niko Galesic;DF,MF;23;Dinamo Zagreb
Wilfried Kanga;FW,MF;26;Dinamo Zagreb
Danijel Zagorac;GK;37;Dinamo Zagreb
Bruno Petković;FW;29;Dinamo Zagreb
Maxime Bernauer;DF,MF;26;Dinamo Zagreb
Juan Córdoba;MF,FW;21;Dinamo Zagreb
Dario Špikić;MF;25;Dinamo Zagreb
Lukas Kačavenda;MF;21;Dinamo Zagreb
Marko Rog;MF;29;Dinamo Zagreb
Takuya Ogiwara;DF;24;Dinamo Zagreb
Nikola Čavlina;GK;22;Dinamo Zagreb
Nathanaël Mbuku;MF;22;Dinamo Zagreb
Sadegh Moharrami;DF;28;Dinamo Zagreb
Branko Pavić;MF;17;Dinamo Zagreb
Leon Belcar;MF;22;Dinamo Zagreb
Petar Bočkaj;MF;28;Dinamo Zagreb
Luka Vrbančić;MF;19;Dinamo Zagreb
Noa Mikić;DF;17;Dinamo Zagreb
Leon Jakirovic;FW;16;Dinamo Zagreb
Mauro Perkovic;DF;21;Dinamo Zagreb
Dino Perić;DF;30;Dinamo Zagreb
Mislav Čutuk;FW;17;Dinamo Zagreb
Tomas Baković;MF;18;Dinamo Zagreb
Leo Rimac;FW;18;Dinamo Zagreb
Fallou Faye;MF;18;Dinamo Zagreb
Ivan Filipović;GK;29;Dinamo Zagreb
Jan Oliveras;DF;20;Dinamo Zagreb
Borna Orlić;DF;17;Dinamo Zagreb
Antonio Rajić;GK;17;Dinamo Zagreb
Alexander Nübel;GK;27;Stuttgart
Angelo Stiller;MF;23;Stuttgart
Atakan Karazor;MF;27;Stuttgart
Maximilian Mittelstädt;DF,MF;27;Stuttgart
Julian Chabot;DF;26;Stuttgart
Chris Führich;MF;26;Stuttgart
Enzo Millot;MF;22;Stuttgart
Jamie Leweling;MF;23;Stuttgart
Ermedin Demirović;FW;26;Stuttgart
Deniz Undav;FW,MF;28;Stuttgart
Josha Vagnoman;DF,MF;23;Stuttgart
Nick Woltemade;FW,MF;22;Stuttgart
Anthony Rouault;DF;23;Stuttgart
Leonidas Stergiou;DF;22;Stuttgart
Ramon Hendriks;DF;23;Stuttgart
Finn Jeltsch;DF;18;Stuttgart
Fabian Rieder;MF;22;Stuttgart
Anrie Chase;DF;20;Stuttgart
Ameen Al-Dakhil;DF;22;Stuttgart
Pascal Stenzel;DF;28;Stuttgart
Jacob Bruun Larsen;MF;25;Stuttgart
El Bilal Touré;FW;22;Stuttgart
Yannik Keitel;MF;24;Stuttgart
Luca Jaquez;DF;21;Stuttgart
Frans Krätzig;DF;21;Stuttgart
Justin Diehl;MF;19;Stuttgart
Dan-Axel Zagadou;DF;25;Stuttgart
Nikolas Nartey;MF;24;Stuttgart
Jarzinho Malanga;MF;18;Stuttgart
Fabian Bredlow;GK;29;Stuttgart
Stefan Drljača;GK;25;Stuttgart
Silas Katompa;FW,MF;25;Stuttgart
Valerii Bondar;DF;25;Shakhtar Donetsk
Artem Bondarenko;MF;23;Shakhtar Donetsk
Dmytro Riznyk;GK;25;Shakhtar Donetsk
Heorhiy Sudakov;MF;21;Shakhtar Donetsk
Mykola Matviyenko;DF;28;Shakhtar Donetsk
Kevin;MF,FW;21;Shakhtar Donetsk
Dmytro Kryskiv;MF;23;Shakhtar Donetsk
Pedro Henrique;DF;22;Shakhtar Donetsk
Vinicius Tobias;DF;20;Shakhtar Donetsk
Marlon Gomes;MF;20;Shakhtar Donetsk
Pedrinho;MF,FW;26;Shakhtar Donetsk
Eguinaldo;FW;19;Shakhtar Donetsk
Yukhym Konoplia;DF;24;Shakhtar Donetsk
Irakli Azarov;DF;22;Shakhtar Donetsk
Oleksandr Zubkov;MF,FW;27;Shakhtar Donetsk
Lassina Franck Traoré;FW;23;Shakhtar Donetsk
Danylo Sikan;FW;23;Shakhtar Donetsk
Newerton;MF,FW;19;Shakhtar Donetsk
Alaa Ghram;DF;23;Shakhtar Donetsk
Kiril Fesiun;GK;21;Shakhtar Donetsk
Yehor Nazaryna;MF,DF;27;Shakhtar Donetsk
Maryan Shved;MF,FW;27;Shakhtar Donetsk
Kauã Elias;FW;18;Shakhtar Donetsk
Alisson;MF;18;Shakhtar Donetsk
Bartol Franjić;DF;24;Shakhtar Donetsk
Maryan Faryna;DF;20;Shakhtar Donetsk
Taras Stepanenko;MF;34;Shakhtar Donetsk
Denys Tvardovskyi;GK;21;Shakhtar Donetsk
Viktor Tsukanov;MF;18;Shakhtar Donetsk
Anton Hlushchenko;MF;20;Shakhtar Donetsk
Diego Arroyo;DF;19;Shakhtar Donetsk
Mykola Oharkov;DF;19;Shakhtar Donetsk
Tymur Puzankov;GK;21;Shakhtar Donetsk
;Playing Time;;
Player;Nation;Pos;Age
Remo Freuler;MF;32;Bologna
Sam Beukema;DF;25;Bologna
Jhon Lucumí;DF;26;Bologna
Łukasz Skorupski;GK;33;Bologna
Santiago Castro;FW;19;Bologna
Dan Ndoye;MF,FW;23;Bologna
Juan Miranda;DF;24;Bologna
Jens Odgaard;MF;25;Bologna
Riccardo Orsolini;MF,FW;27;Bologna
Benjamín Domínguez;MF;20;Bologna
Nikola Moro;MF;26;Bologna
Tommaso Pobega;MF;25;Bologna
Lorenzo De Silvestri;DF;36;Bologna
Emil Holm;DF;24;Bologna
Babis Lykogiannis;DF;30;Bologna
Thijs Dallinga;FW;23;Bologna
Federico Ravaglia;GK;24;Bologna
Lewis Ferguson;MF;24;Bologna
Giovanni Fabbian;MF;21;Bologna
Nicolò Casale;DF;26;Bologna
Michel Aebischer;MF;27;Bologna
Stefan Posch;DF;27;Bologna
Davide Calabria;DF;27;Bologna
Martin Erlić;DF;26;Bologna
Nicolò Cambiaghi;MF,FW;23;Bologna
Jesper Karlsson;MF,FW;26;Bologna
Kacper Urbanski;MF;19;Bologna
Samuel Iling-Junior;MF;20;Bologna
Oussama El Azzouzi;MF;23;Bologna
Estanis;FW;20;Bologna
Nicola Bagnolini;GK;20;Bologna
Naïm Byar;MF;19;Bologna
Tommaso Corazza;MF;20;Bologna
Mihajlo Ilić;DF;21;Bologna
Massimo Pessina;GK;16;Bologna
;Playing Time;;
Player;Nation;Pos;Age
Seol Young-woo;DF;25;Red Star
Timi Elšnik;MF;26;Red Star
Guélor Kanga;MF;33;Red Star
Cherif Ndiaye;FW;28;Red Star
Bruno Duarte;FW,MF;28;Red Star
Luka Ilić;MF;25;Red Star
Rade Krunić;DF,MF;30;Red Star
Mirko Ivanić;MF;30;Red Star
Milson;MF;24;Red Star
Andrija Maksimović;MF;17;Red Star
Milan Rodić;DF;33;Red Star
Nasser Djiga;DF;21;Red Star
Ivan Guteša;GK;22;Red Star
Ebenezer Annan;DF;21;Red Star
Aleksandar Katai;MF,FW;33;Red Star
Andrej Đurić;DF;20;Red Star
Omri Glazer;GK;28;Red Star
Veljko Milosavljević;DF;17;Red Star
Ognjen Mimovic;DF;19;Red Star
Silas Katompa;MF;25;Red Star
Marko Ilić;GK;26;Red Star
Vanja Drkušič;DF;24;Red Star
Dálcio;FW,MF;28;Red Star
Stefan Lekovic;DF;20;Red Star
Uroš Spajić;DF;31;Red Star
Jovan Šljivić;MF;18;Red Star
Egor Prutsev;MF;21;Red Star
Hwang In-beom;MF;27;Red Star
Peter Olayinka;FW,MF;28;Red Star
Nemanja Radonjić;MF;28;Red Star
José Luis Rodríguez;FW,MF;26;Red Star
Nemanja Stojić;DF;26;Red Star
Savo Radanović;GK;15;Red Star
Strahinja Stojković;DF;17;Red Star
Keimer Sandoval;DF;18;Red Star
Lazar Jovanović;FW;17;Red Star
Srđan Mijailović;MF;30;Red Star
Vasilije Kostov;MF;16;Red Star
Miloš Degenek;DF,MF;30;Red Star
Vuk Draškić;GK;17;Red Star
Moustapha Fall;DF;19;Red Star
Nikola Knezevic;MF;21;Red Star
Uroš Sremčević;FW;18;Red Star
David Đurić;DF;18;Red Star
Kjell Scherpen;GK;24;Sturm Graz
Otar Kiteishvili;MF,FW;28;Sturm Graz
Dimitri Lavalée;DF;27;Sturm Graz
William Bøving;FW,MF;21;Sturm Graz
Emanuel Aiwum;DF;23;Sturm Graz
Jon Gorenc Stanković;MF;28;Sturm Graz
Malick Yalcouye;MF;18;Sturm Graz
Tomi Horvat;MF;25;Sturm Graz
Gregory Wüthrich;DF;29;Sturm Graz
Max Johnston;DF;20;Sturm Graz
Mika Biereth;FW,MF;21;Sturm Graz
Seedy Jatta;FW,MF;21;Sturm Graz
Jusuf Gazibegović;DF;24;Sturm Graz
Tochi Chukwuani;MF;21;Sturm Graz
Niklas Geyrhofer;DF;24;Sturm Graz
Leon Grgic;FW;18;Sturm Graz
Emir Karic;DF;27;Sturm Graz
Amady Camara;FW;19;Sturm Graz
Lovro Zvonarek;FW,MF;19;Sturm Graz
Arjan Malic;DF;18;Sturm Graz
Erencan Yardimci;FW;22;Sturm Graz
Daniil Khudiakov;GK;20;Sturm Graz
Stefan Hierländer;MF;33;Sturm Graz
Emran Soglo;DF;19;Sturm Graz
Fally Mayulu;FW;22;Sturm Graz
Jacob Hodl;MF;17;Sturm Graz
Belmin Beganovic;FW;19;Sturm Graz
Manprit Sarkaria;FW,MF;27;Sturm Graz
Peter Kiedl;FW;20;Sturm Graz
Konstantin Schopp;DF;18;Sturm Graz
Matteo Bignetti;GK;20;Sturm Graz
Peter Vindahl Jensen;GK;26;Sparta Prague
Filip Panák;DF;28;Sparta Prague
Jaroslav Zelený;DF,MF;31;Sparta Prague
Martin Vitík;DF;21;Sparta Prague
Lukáš Sadílek;MF;28;Sparta Prague
Qazim Laçi;MF;28;Sparta Prague
Kaan Kairinen;MF;25;Sparta Prague
Asger Sørensen;DF;28;Sparta Prague
Lukáš Haraslín;FW,MF;28;Sparta Prague
Jan Kuchta;FW;27;Sparta Prague
Matěj Ryneš;MF;23;Sparta Prague
Martin Suchomel;MF;21;Sparta Prague
Tomáš Wiesner;MF;27;Sparta Prague
Ermal Krasniqi;MF,FW;25;Sparta Prague
Albion Rrahmani;FW;23;Sparta Prague
Veljko Birmančević;FW,MF;26;Sparta Prague
Emannuel Uchenna;DF,MF;20;Sparta Prague
Victor Olatunji;FW;24;Sparta Prague
Elias Cobbaut;DF;26;Sparta Prague
Mathias Ross;DF;23;Sparta Prague
Ángelo Preciado;MF;26;Sparta Prague
Patrik Vydra;MF;21;Sparta Prague
Kryštof Daněk;MF,FW;21;Sparta Prague
Markus Solbakken;MF;24;Sparta Prague
Indrit Tuci;FW,MF;23;Sparta Prague
Magnus Kofod Andersen;MF;25;Sparta Prague
Jakub Pesek;MF;31;Sparta Prague
Adam Sevinsky;DF;20;Sparta Prague
David Pavelka;MF,DF;33;Sparta Prague
Imanol;MF;24;Sparta Prague
Radek Siler;FW;19;Sparta Prague
Lukáš Penxa;MF;20;Sparta Prague
Roman Horák;MF;19;Sparta Prague
Jesse Heerkens;GK;18;Sparta Prague
Ondřej Kukučka;DF;20;Sparta Prague
Roman Mokrovics;MF;18;Sparta Prague
Jakub Surovčík;GK;22;Sparta Prague
Dalibor Večerka;DF;21;Sparta Prague
Vojtěch Vorel;GK;28;Sparta Prague
Péter Gulácsi;GK;34;RB Leipzig
Benjamin Šeško;FW,MF;21;RB Leipzig
Loïs Openda;FW;24;RB Leipzig
Willi Orban;DF;31;RB Leipzig
Xavi Simons;MF;21;RB Leipzig
David Raum;MF,DF;26;RB Leipzig
Nicolas Seiwald;MF,DF;23;RB Leipzig
Lukas Klostermann;DF;28;RB Leipzig
Christoph Baumgartner;MF,FW;24;RB Leipzig
Kevin Kampl;MF;33;RB Leipzig
Castello Lukeba;DF;21;RB Leipzig
Arthur Vermeeren;MF;19;RB Leipzig
Lutsharel Geertruida;DF;24;RB Leipzig
Antonio Nusa;MF,DF;19;RB Leipzig
Amadou Haidara;MF;26;RB Leipzig
Ridle Baku;MF;26;RB Leipzig
El Chadaille Bitshiabu;DF;19;RB Leipzig
Benjamin Henrichs;DF,MF;27;RB Leipzig
Kosta Nedeljković;DF,MF;18;RB Leipzig
Maarten Vandevoordt;GK;22;RB Leipzig
Yussuf Poulsen;MF,FW;30;RB Leipzig
Xaver Schlager;MF;26;RB Leipzig
Tidiam Gomis;FW;17;RB Leipzig
Mohamed Simakan;DF;24;RB Leipzig
André Silva;FW;28;RB Leipzig
Assan Ouédraogo;MF;18;RB Leipzig
Elif Elmas;FW,MF;24;RB Leipzig
Viggo Gebel;MF;16;RB Leipzig
Faik Sakar;MF;16;RB Leipzig
Nuha Jatta;MF;18;RB Leipzig
Jonathan Norbye;DF;17;RB Leipzig
Robert Ramsak;FW;17;RB Leipzig
Lionel Voufack;DF;16;RB Leipzig
Mika Walther;MF;16;RB Leipzig
Leopold Zingerle;GK;30;RB Leipzig
Paulo Gazzaniga;GK;32;Girona
Daley Blind;DF;34;Girona
Arnau Martinez;DF,MF;21;Girona
Miguel Gutiérrez;DF,MF;23;Girona
Ladislav Krejčí;DF;25;Girona
David López;DF;34;Girona
Yangel Herrera;MF;26;Girona
Iván Martín;MF;25;Girona
Viktor Tsyhankov;MF,FW;26;Girona
Bryan Gil;MF,FW;23;Girona
Oriol Romeu;MF;32;Girona
Abel Ruiz;FW;24;Girona
Donny van de Beek;MF;27;Girona
Yaser Asprilla;MF,FW;20;Girona
Arnaut Danjuma;MF,FW;27;Girona
Alejandro Francés;DF;21;Girona
Bojan Miovski;FW;25;Girona
Arthur Melo;MF;27;Girona
Juanpe;DF;33;Girona
Cristhian Stuani;FW;37;Girona
Portu;FW,MF;32;Girona
Jhon Solis;MF;19;Girona
Vladyslav Krapyvtsov;GK;19;Girona
Silvi Clúa;MF;19;Girona
Gabriel Osei Misehouy;FW;19;Girona
Iker Almena;MF;20;Girona
Papa Ba;FW;19;Girona
Pau López;GK;29;Girona
Kim Minsu;FW;18;Girona
Ferrán Ruiz;DF;21;Girona
Juan Carlos;GK;36;Girona
Aleksandar Andreev;GK;18;Girona
Ricard Artero;MF;21;Girona
Dawda Camara;FW;21;Girona
Enric García;MF;18;Girona
Jastin García;FW;20;Girona
Lucas García;GK;20;Girona
Raúl Martínez;MF;22;Girona
Joel Roca;FW;19;Girona
Toni Villa;MF;29;Girona
Antal Yaakobishvili;DF;20;Girona
Samson Baidoo;DF;20;Red Bull Salzburg
Mads Bidstrup;MF;23;Red Bull Salzburg
Nene Dorgeles;MF,FW;21;Red Bull Salzburg
Oscar Gloukh;MF;20;Red Bull Salzburg
Alexander Schlager;GK;28;Red Bull Salzburg
Nicolás Capaldo;MF,DF;25;Red Bull Salzburg
Adam Daghim;FW;18;Red Bull Salzburg
Aleksa Terzić;DF;24;Red Bull Salzburg
Kouakou Gadou;DF;17;Red Bull Salzburg
Moussa Kounfolo Yeo;MF,FW;20;Red Bull Salzburg
Yorbe Vertessen;FW,MF;23;Red Bull Salzburg
Leandro Morgalla;DF;19;Red Bull Salzburg
Kamil Piątkowski;DF;24;Red Bull Salzburg
Janis Blaswich;GK;33;Red Bull Salzburg
Mamady Diambou;MF;21;Red Bull Salzburg
Amar Dedić;DF;21;Red Bull Salzburg
Karim Konaté;FW;20;Red Bull Salzburg
Petar Ratkov;FW;20;Red Bull Salzburg
Bobby Clark;MF,FW;19;Red Bull Salzburg
Stefan Bajcetic;MF;19;Red Bull Salzburg
Karim Onisiwo;FW;32;Red Bull Salzburg
Hendry Blank;DF;19;Red Bull Salzburg
Daouda Guindo;DF;21;Red Bull Salzburg
Maurits Kjærgaard;MF,DF;21;Red Bull Salzburg
Valentin Sulzbacher;MF;19;Red Bull Salzburg
Tim Trummer;DF;18;Red Bull Salzburg
Lucas Gourna-Douath;MF;20;Red Bull Salzburg
John Mellberg;DF;18;Red Bull Salzburg
Takumu Kawamura;MF;24;Red Bull Salzburg
Edmund Baidoo;MF,FW;18;Red Bull Salzburg
Maximiliano Caufriez;DF;27;Red Bull Salzburg
Ignace Van Der Brempt;DF;22;Red Bull Salzburg
Jannik Schuster;DF;18;Red Bull Salzburg
Salko Hamzic;GK;17;Red Bull Salzburg
Jonas Krumrey;GK;20;Red Bull Salzburg
Bryan Okoh;DF;21;Red Bull Salzburg
Lassina Traoré;DF;17;Red Bull Salzburg
Christian Zawieschitzky;GK;17;Red Bull Salzburg
Dominik Takáč;GK;25;Slovan Bratislava
César Blackman;DF,MF;26;Slovan Bratislava
Kenan Bajrić;DF,MF;29;Slovan Bratislava
Guram Kashia;DF;37;Slovan Bratislava
Dávid Strelec;FW;23;Slovan Bratislava
Kyriakos Savvidis;MF;29;Slovan Bratislava
Tigran Barseghyan;MF,FW;30;Slovan Bratislava
Marko Tolić;MF;28;Slovan Bratislava
Kevin Wimmer;DF;31;Slovan Bratislava
Danylo Ihnatenko;MF;27;Slovan Bratislava
Nino Marcelli;MF;19;Slovan Bratislava
Sharani Zuberu;DF,MF;24;Slovan Bratislava
Siemen Voet;DF;24;Slovan Bratislava
Juraj Kucka;MF;37;Slovan Bratislava
Róbert Mak;FW,MF;33;Slovan Bratislava
Jurij Medvedev;MF;28;Slovan Bratislava
Vladimír Weiss;FW,MF;34;Slovan Bratislava
Idjessi Metsoko;FW;22;Slovan Bratislava
Július Szöke;MF;28;Slovan Bratislava
Alen Mustafić;MF;25;Slovan Bratislava
Artur Gajdoš;MF;20;Slovan Bratislava
Lukáš Pauschek;DF;31;Slovan Bratislava
Matúš Vojtko;MF;23;Slovan Bratislava
Adam Hrdina;GK;20;Slovan Bratislava
Elvis Isaac;FW;21;Slovan Bratislava
Maxim Mateas;MF;16;Slovan Bratislava
Andrej Mikolás;GK;19;Slovan Bratislava
Martin Mišovič;FW;20;Slovan Bratislava
Martin Trnovský;GK;24;Slovan Bratislava
Filip Ugrinic;MF;25;Young Boys
Jaouen Hadjam;DF;21;Young Boys
Loris Benito;DF;32;Young Boys
Sandro Lauper;DF,MF;27;Young Boys
Joel Monteiro;MF,FW;24;Young Boys
Marvin Keller;GK;22;Young Boys
Lewin Blum;DF;23;Young Boys
Cedric Itten;FW;27;Young Boys
Zachary Athekame;DF;19;Young Boys
Darian Males;MF;23;Young Boys
Alan Virginius;MF,FW;21;Young Boys
Christian Fassnacht;MF,FW;30;Young Boys
