Player;Pos;Age;Team
José María Giménez;DF;29;Atlético Madrid
Koke;MF;32;Atlético Madrid
Conor Gallagher;MF;24;Atlético Madrid
Nahuel Molina;DF;26;Atlético Madrid
Alexander Sørloth;FW;28;Atlético Madrid
Reinildo Mandava;DF,MF;30;Atlético Madrid
César Azpilicueta;DF;34;Atlético Madrid
Axel Witsel;DF;35;Atlético Madrid
Rodrigo Riquelme;MF,DF;24;Atlético Madrid
Ángel Correa;FW;29;Atlético Madrid
Juan Musso;GK;30;Atlético Madrid
Thomas Lemar;MF;28;Atlético Madrid
Adrian Niño;FW;20;Atlético Madrid
Rayane Belaid;DF;19;Atlético Madrid
Aitor Gismera;MF;20;Atlético Madrid
Antonio Gomis;GK;21;Atlético Madrid
Alejandro Iturbe;GK;20;Atlético Madrid
Omar Janneh;FW;17;Atlético Madrid
Ilias Kostis;DF;21;Atlético Madrid
Horaţiu Moldovan;GK;26;Atlético Madrid
Javier Serrano;MF;21;Atlético Madrid
Gerónimo Spina;DF;19;Atlético Madrid
Arthur Vermeeren;MF;19;Atlético Madrid
Jonathan Tah;DF;28;Leverkusen
Granit Xhaka;MF;31;Leverkusen
Álex Grimaldo;MF;28;Leverkusen
Lukáš Hrádecký;GK;34;Leverkusen
Edmond Tapsoba;DF;25;Leverkusen
Piero Hincapié;DF;22;Leverkusen
Florian Wirtz;MF;21;Leverkusen
Jeremie Frimpong;MF;23;Leverkusen
Patrik Schick;FW;28;Leverkusen
Robert Andrich;MF,DF;29;Leverkusen
Aleix García;MF;27;Leverkusen
Nathan Tella;MF,FW;25;Leverkusen
Victor Boniface;FW;23;Leverkusen
Exequiel Palacios;MF;25;Leverkusen
Nordi Mukiele;DF,MF;26;Leverkusen
Arthur;MF,DF;21;Leverkusen
Martin Terrier;MF,FW;27;Leverkusen
Amine Adli;MF,FW;24;Leverkusen
Matej Kovar;GK;24;Leverkusen
Jonas Hofmann;MF;32;Leverkusen
Mario Hermoso;DF;29;Leverkusen
Emi Buendía;MF;27;Leverkusen
Jeanuël Belocian;DF;19;Leverkusen
Kerim Alajbegović;MF;16;Leverkusen
Odilon Kossounou;DF;23;Leverkusen
Niklas Lomb;GK;31;Leverkusen
Andrea Natali;DF;16;Leverkusen
Francis Onyeka;MF;17;Leverkusen
Simeon Rapsch;GK;16;Leverkusen
Alejo Sarco;FW;18;Leverkusen
Artem Stepanov;FW;16;Leverkusen
Lucas Chevalier;GK;22;Lille
Bafodé Diakité;DF;23;Lille
Alexsandro Ribeiro;DF;24;Lille
Benjamin André;MF;33;Lille
Jonathan David;FW;24;Lille
Thomas Meunier;DF;32;Lille
Hákon Haraldsson;MF;21;Lille
Gabriel Gudmundsson;DF,MF;25;Lille
Aïssa Mandi;DF;32;Lille
André Gomes;MF;31;Lille
Ngal'Ayel Mukau;MF;19;Lille
Mitchel Bakker;MF,DF;24;Lille
Matias Fernandez-Pardo;MF,FW;19;Lille
Rémy Cabella;MF;34;Lille
Edon Zhegrova;MF;25;Lille
Ayyoub Bouaddi;MF;16;Lille
Osame Sahraoui;MF;23;Lille
Ismaily;DF;34;Lille
Angel Gomes;MF;23;Lille
Chuba Akpom;FW;28;Lille
Tiago Santos;DF,MF;22;Lille
Mohamed Lamine Bayo;FW;26;Lille
Nabil Bentaleb;MF;29;Lille
Ethan Mbappé;MF;17;Lille
Younes Lachaab;MF;19;Lille
Ousmane Toure;DF;19;Lille
Aaron Malouda;FW;18;Lille
Vincent Burlet;DF;18;Lille
Marc-Aurèle Caillard;GK;30;Lille
Isaac Cossier;DF;17;Lille
Soriba Diaoune;FW;16;Lille
Rafael Fernandes;DF;22;Lille
Andrej Ilic;FW;24;Lille
Vito Mannone;GK;36;Lille
Samuel Umtiti;DF;30;Lille
Akim Zedadka;DF;29;Lille
Emiliano Martínez;GK;31;Aston Villa
Morgan Rogers;MF;22;Aston Villa
Youri Tielemans;MF;27;Aston Villa
Ezri Konsa;DF;26;Aston Villa
Ollie Watkins;FW;28;Aston Villa
Lucas Digne;DF;31;Aston Villa
John McGinn;MF;29;Aston Villa
Matty Cash;DF;26;Aston Villa
Pau Torres;DF;27;Aston Villa
Boubacar Kamara;MF,DF;24;Aston Villa
Amadou Onana;MF;22;Aston Villa
Jacob Ramsey;MF;23;Aston Villa
Leon Bailey;MF;26;Aston Villa
Tyrone Mings;DF;31;Aston Villa
Ian Maatsen;DF;22;Aston Villa
Marco Asensio;MF;28;Aston Villa
Diego Carlos;DF;31;Aston Villa
Axel Disasi;DF;26;Aston Villa
Lamare Bogarde;DF,MF;20;Aston Villa
Andrés García;DF,MF;21;Aston Villa
Jáder Durán;FW;20;Aston Villa
Marcus Rashford;FW,MF;26;Aston Villa
Ross Barkley;MF;30;Aston Villa
Jaden Philogene Bidace;MF;22;Aston Villa
Donyell Malen;MF;25;Aston Villa
Robin Olsen;GK;34;Aston Villa
Kosta Nedeljković;DF;18;Aston Villa
Emi Buendía;FW,MF;27;Aston Villa
Benjamin Broggio;MF;17;Aston Villa
Joe Gauci;GK;24;Aston Villa
Jamaldeen Jimoh;MF;17;Aston Villa
Sil Swinkels;DF;20;Aston Villa
Kadan Young;MF;18;Aston Villa
Oliwier Zych;GK;20;Aston Villa
Marco Carnesecchi;GK;24;Atalanta
Marten de Roon;MF,DF;33;Atalanta
Éderson Silva;MF;25;Atalanta
Berat Djimsiti;DF;31;Atalanta
Mateo Retegui;FW;25;Atalanta
Ademola Lookman;MF,FW;26;Atalanta
Raoul Bellanova;MF;24;Atalanta
Isak Hien;DF;25;Atalanta
Davide Zappacosta;MF;32;Atalanta
Charles De Ketelaere;MF,FW;23;Atalanta
Mario Pašalić;MF;29;Atalanta
Sead Kolašinac;DF;31;Atalanta
Matteo Ruggeri;MF,DF;22;Atalanta
Odilon Kossounou;DF;23;Atalanta
Marco Brescianini;MF;24;Atalanta
Lazar Samardzic;MF;22;Atalanta
Juan Cuadrado;MF,FW;36;Atalanta
Stefan Posch;DF;27;Atalanta
Giorgio Scalvini;DF;20;Atalanta
Ibrahim Sulemana;MF;21;Atalanta
Rui Patrício;GK;36;Atalanta
Rafael Tolói;DF;33;Atalanta
Daniel Maldini;MF;22;Atalanta
Marco Palestra;MF;19;Atalanta
Juan Musso;GK;30;Atalanta
Nicolò Zaniolo;FW,MF;25;Atalanta
Vanja Vlahović;MF;20;Atalanta
Ben Godfrey;DF,MF;26;Atalanta
Mitchel Bakker;DF,MF;24;Atalanta
Federico Cassa;MF;18;Atalanta
Alberto Manzoni;MF;19;Atalanta
Gianluca Scamacca;FW;25;Atalanta
Lorenzo Bernasconi;MF;20;Atalanta
Pietro Comi;DF;19;Atalanta
Tommaso Del Lungo;DF;20;Atalanta
Javison Idele;DF;17;Atalanta
Relja Obrić;DF;18;Atalanta
Lorenzo Riccio;MF;18;Atalanta
Francesco Rossi;GK;33;Atalanta
Federico Steffanoni;MF;15;Atalanta
Pietro Tornaghi;DF;18;Atalanta
Dominic Vavassori;FW;18;Atalanta
Paolo Vismara;GK;21;Atalanta
Gregor Kobel;GK;26;Dortmund
Serhou Guirassy;FW;28;Dortmund
Pascal Groß;MF,DF;33;Dortmund
Julian Brandt;MF;28;Dortmund
Julian Ryerson;DF,MF;26;Dortmund
Emre Can;DF,MF;30;Dortmund
Ramy Bensebaini;DF;29;Dortmund
Nico Schlotterbeck;DF;24;Dortmund
Waldemar Anton;DF;28;Dortmund
Jamie Gittens;MF;19;Dortmund
Felix Nmecha;MF;23;Dortmund
Marcel Sabitzer;MF;30;Dortmund
Maximilian Beier;MF,FW;21;Dortmund
Karim Adeyemi;MF,FW;22;Dortmund
Niklas Süle;DF;28;Dortmund
Yan Couto;DF,MF;22;Dortmund
Daniel Svensson;MF,DF;22;Dortmund
Donyell Malen;MF;25;Dortmund
Salih Özcan;MF;26;Dortmund
Gio Reyna;MF;21;Dortmund
Julien Duranville;MF;18;Dortmund
Alexander Meyer;GK;33;Dortmund
Carney Chukwuemeka;MF;20;Dortmund
Almugera Kabar;DF;18;Dortmund
Yannik Lührs;DF;20;Dortmund
Ayman Azhil;MF;23;Dortmund
Cole Campbell;FW;18;Dortmund
Kjell-Arik Wätjen;MF;18;Dortmund
Rodney Elongo-Yombo;FW,MF;23;Dortmund
Sébastien Haller;FW;30;Dortmund
Niklas Jessen;MF;20;Dortmund
David Lelle;DF;21;Dortmund
Marcel Lotka;GK;23;Dortmund
Filippo Mane;DF;19;Dortmund
Jordi Paulina;FW;19;Dortmund
