Player,Age,Team,Posicion
Nahuel Molina,26,Atlético Madrid,DF
Alexander Sørloth,28,Atlético Madrid,FW
Reinildo Mandava,30,Atlético Madrid,DF
César Azpilicueta,34,Atlético Madrid,DF
Axel Witsel,35,Atlético Madrid,DF
Rodrigo Riquelme,24,Atlético Madrid,MF
Ángel Correa,29,Atlético Madrid,FW
Juan Musso,30,Atlético Madrid,GK
Thomas Lemar,28,Atlético Madrid,MF
Adrian Niño,20,Atlético Madrid,FW
Rayane Belaid,19,Atlético Madrid,DF
Aitor Gismera,20,Atlético Madrid,MF
Antonio Gomis,21,Atlético Madrid,GK
Alejandro Iturbe,20,Atlético Madrid,GK
Omar Janneh,17,Atlético Madrid,FW
Ilias Kostis,21,Atlético Madrid,DF
Horaţiu Moldovan,26,Atlético Madrid,GK
Javier Serrano,21,Atlético Madrid,MF
Gerónimo Spina,19,Atlético Madrid,DF
Arthur Vermeeren,19,Atlético Madrid,MF
Jonathan Tah,28,Leverkusen,DF
Granit Xhaka,31,Leverkusen,MF
Álex Grimaldo,28,Leverkusen,MF
Lukáš Hrádecký,34,Leverkusen,GK
Edmond Tapsoba,25,Leverkusen,DF
Piero Hincapié,22,Leverkusen,DF
Florian Wirtz,21,Leverkusen,MF
Jeremie Frimpong,23,Leverkusen,MF
Patrik Schick,28,Leverkusen,FW
Robert Andrich,29,Leverkusen,MF
Aleix García,27,Leverkusen,MF
Nathan Tella,25,Leverkusen,MF
Victor Boniface,23,Leverkusen,FW
Exequiel Palacios,25,Leverkusen,MF
Nordi Mukiele,26,Leverkusen,DF
Arthur,21,Leverkusen,MF
Martin Terrier,27,Leverkusen,MF
Amine Adli,24,Leverkusen,MF
Matej Kovar,24,Leverkusen,GK
Jonas Hofmann,32,Leverkusen,MF
Mario Hermoso,29,Leverkusen,DF
Emi Buendía,27,Leverkusen,MF
Jeanuël Belocian,19,Leverkusen,DF
Kerim Alajbegović,16,Leverkusen,MF
Odilon Kossounou,23,Leverkusen,DF
Niklas Lomb,31,Leverkusen,GK
Andrea Natali,16,Leverkusen,DF
Francis Onyeka,17,Leverkusen,MF
Simeon Rapsch,16,Leverkusen,GK
Alejo Sarco,18,Leverkusen,FW
Artem Stepanov,16,Leverkusen,FW
Lucas Chevalier,22,Lille,GK
Bafodé Diakité,23,Lille,DF
Alexsandro Ribeiro,24,Lille,DF
Benjamin André,33,Lille,MF
Jonathan David,24,Lille,FW
Thomas Meunier,32,Lille,DF
Hákon Haraldsson,21,Lille,MF
Gabriel Gudmundsson,25,Lille,DF
Aïssa Mandi,32,Lille,DF
André Gomes,31,Lille,MF
Ngal'Ayel Mukau,19,Lille,MF
Mitchel Bakker,24,Lille,MF
Matias Fernandez-Pardo,19,Lille,MF
Rémy Cabella,34,Lille,MF
Edon Zhegrova,25,Lille,MF
Ayyoub Bouaddi,16,Lille,MF
Osame Sahraoui,23,Lille,MF
Ismaily,34,Lille,DF
Angel Gomes,23,Lille,MF
Chuba Akpom,28,Lille,FW
Tiago Santos,22,Lille,DF
Mohamed Lamine Bayo,26,Lille,FW
Nabil Bentaleb,29,Lille,MF
Ethan Mbappé,17,Lille,MF
Younes Lachaab,19,Lille,MF
Ousmane Toure,19,Lille,DF
Aaron Malouda,18,Lille,FW
Vincent Burlet,18,Lille,DF
Marc-Aurèle Caillard,30,Lille,GK
Isaac Cossier,17,Lille,DF
Soriba Diaoune,16,Lille,FW
Rafael Fernandes,22,Lille,DF
Andrej Ilic,24,Lille,FW
Vito Mannone,36,Lille,GK
Samuel Umtiti,30,Lille,DF
Akim Zedadka,29,Lille,DF
Emiliano Martínez,31,Aston Villa,GK
Morgan Rogers,22,Aston Villa,MF
Youri Tielemans,27,Aston Villa,MF
Ezri Konsa,26,Aston Villa,DF
Ollie Watkins,28,Aston Villa,FW
