Player,Age,Team,Posicion
Zepiqueno Redmond,18,Feyenoord,FW
Chris Nadje,22,Feyenoord,MF
Neraysho Kasanwirjo,22,Feyenoord,DF
Plamen Andreev,19,Feyenoord,GK
Marcos López,24,Feyenoord,MF
Aymen Sliti,18,Feyenoord,FW
Facundo González,21,Feyenoord,DF
Stephano Carrillo,18,Feyenoord,FW
Shiloh ’t Zand,21,Feyenoord,MF
Jeyland Mitchell,19,Feyenoord,DF
Marcus Pedersen,24,Feyenoord,DF
Djomar Giersthove,19,Feyenoord,DF
Jan Plug,19,Feyenoord,DF
Manuel Locatelli,26,Juventus,MF
Michele Di Gregorio,27,Juventus,GK
Kenan Yıldız,19,Juventus,MF
Weston McKennie,25,Juventus,MF
Khéphren Thuram,23,Juventus,MF
Federico Gatti,26,Juventus,DF
Pierre Kalulu,24,Juventus,DF
Andrea Cambiaso,24,Juventus,DF
Teun Koopmeiners,26,Juventus,MF
Nicolás González,26,Juventus,MF
Dušan Vlahović,24,Juventus,FW
Nicolò Savona,21,Juventus,DF
Timothy Weah,24,Juventus,MF
Randal Kolo Muani,25,Juventus,FW
Francisco Conceição,21,Juventus,MF
Renato Veiga,21,Juventus,DF
Lloyd Kelly,25,Juventus,DF
Samuel Mbangula,20,Juventus,MF
Danilo,33,Juventus,DF
Gleison Bremer,27,Juventus,DF
Juan David Cabal,23,Juventus,DF
Nicolò Fagioli,23,Juventus,MF
Mattia Perin,31,Juventus,GK
Douglas Luiz,26,Juventus,MF
Alberto costa,20,Juventus,DF
Jonas Rouhi,20,Juventus,DF
Vasilije Adžić,18,Juventus,MF
Diego Pugno,18,Juventus,DF
Lorenzo Anghelè,19,Juventus,FW
Giovanni Daffara,19,Juventus,GK
Javier Gil,18,Juventus,DF
Alfonso Montero,17,Juventus,DF
Augusto Owusu,19,Juventus,DF
Filippo Pagnucco,18,Juventus,DF
Christos Papadopoulos,19,Juventus,MF
Carlo Pinsoglio,34,Juventus,GK
Niccolò Rizzo,17,Juventus,DF
Riccardo Turicchia,21,Juventus,DF
Callum McGregor,31,Celtic,MF
Kasper Schmeichel,37,Celtic,GK
Alistair Johnston,25,Celtic,DF
Daizen Maeda,26,Celtic,FW
Cameron Carter-Vickers,26,Celtic,DF
Reo Hatate,26,Celtic,MF
Arne Engels,20,Celtic,MF
Greg Taylor,26,Celtic,DF
Nicolas-Gerrit Kühn,24,Celtic,FW
Auston Trusty,25,Celtic,DF
Liam Scales,25,Celtic,DF
Adam Idah,23,Celtic,FW
Kyogo Furuhashi,29,Celtic,FW
Luke McCowan,26,Celtic,MF
Paulo Bernardo,22,Celtic,MF
Yang Hyun-jun,22,Celtic,FW
James Forrest,33,Celtic,FW
Anthony Ralston,25,Celtic,DF
Jeffrey Schlupp,31,Celtic,DF
Álex Valle,20,Celtic,DF
Jota,25,Celtic,FW
Viljami Sinisalo,22,Celtic,GK
Maik Nawrocki,23,Celtic,DF
Matt O'Riley,23,Celtic,MF
Luis Enrique Palma,24,Celtic,FW
Johnny Kenny,21,Celtic,FW
Stephen Welsh,24,Celtic,DF
Odin Thiago Holm,21,Celtic,MF
Sean Mcardle,16,Celtic,MF
Michael Johnston,25,Celtic,FW
Jude Bonnar,18,Celtic,FW
Francis Turley,18,Celtic,MF
Scott Bain,32,Celtic,GK
Daniel Cummings,18,Celtic,FW
Colby Donovan,17,Celtic,DF
Tomoki Iwata,27,Celtic,DF
Adam Montgomery,22,Celtic,DF
Dane Murray,21,Celtic,DF
Joško Gvardiol,22,Manchester City,DF
Erling Haaland,24,Manchester City,FW
Bernardo Silva,29,Manchester City,MF
Ederson Moraes,30,Manchester City,GK
Rúben Dias,27,Manchester City,DF
İlkay Gündoğan,33,Manchester City,MF
Mateo Kovačić,30,Manchester City,MF
Manuel Akanji,29,Manchester City,DF
Rico Lewis,19,Manchester City,DF
Sávio,20,Manchester City,MF
Phil Foden,24,Manchester City,MF
Kevin De Bruyne,33,Manchester City,MF
Matheus Nunes,25,Manchester City,DF
Jeremy Doku,22,Manchester City,MF
Omar Marmoush,25,Manchester City,MF
Stefan Ortega,31,Manchester City,GK
Kyle Walker,34,Manchester City,DF
Nicolás González,22,Manchester City,MF
Nathan Aké,29,Manchester City,DF
Jack Grealish,28,Manchester City,MF
John Stones,30,Manchester City,DF
Nico O'Reilly,19,Manchester City,DF
Abdukodir Khusanov,20,Manchester City,DF
James Mcatee,21,Manchester City,MF
Jahmai Simpson-Pusey,18,Manchester City,DF
Rodri,28,Manchester City,MF
Divin Mubama,19,Manchester City,FW
Oscar Bobb,21,Manchester City,FW
Claudio Echeverri,18,Manchester City,MF
Vitor Reis,18,Manchester City,DF
Max Alleyne,19,Manchester City,DF
Thorsten Brits,17,Manchester City,GK
Scott Carson,38,Manchester City,GK
Issa Kaboré,23,Manchester City,DF
Josh Wilson-Esbrand,21,Manchester City,DF
Jacob Wright,18,Manchester City,MF
Francisco Trincão,24,Sporting CP,MF
Viktor Gyökeres,26,Sporting CP,FW
Ousmane Diomande,20,Sporting CP,DF
Geovany Quenda,17,Sporting CP,MF
Morten Hjulmand,25,Sporting CP,MF
Gonçalo Inácio,22,Sporting CP,DF
Zeno Debast,20,Sporting CP,MF
Geny Catamo,23,Sporting CP,MF
Maxi Araújo,24,Sporting CP,MF
Eduardo Quaresma,22,Sporting CP,DF
Rui Silva,30,Sporting CP,GK
Matheus Reis,29,Sporting CP,DF
Daniel Bragança,25,Sporting CP,MF
Hidemasa Morita,29,Sporting CP,MF
Pedro Gonçalves,26,Sporting CP,MF
Franco Israel,24,Sporting CP,GK
Iván Fresneda,19,Sporting CP,MF
Conrad Harder,19,Sporting CP,FW
Vladan Kovačević,26,Sporting CP,GK
Jerry St. Juste,27,Sporting CP,DF
João Simões,17,Sporting CP,MF
Nuno Santos,29,Sporting CP,MF
Ricardo Esgaio,31,Sporting CP,DF
Eduardo Felicíssimo,17,Sporting CP,MF
Marcus Edwards,25,Sporting CP,MF
Alexandre Brito,19,Sporting CP,MF
Mateus Fernandes,20,Sporting CP,MF
Henrique Arreiol,19,Sporting CP,MF
Dario Essugo,19,Sporting CP,MF
Biel,23,Sporting CP,FW
José Silva,18,Sporting CP,DF
Mauro Meireles Couto,18,Sporting CP,FW
Rodrigo Ribeiro,19,Sporting CP,FW
Afonso Moreira,19,Sporting CP,FW
Miguel Alves,18,Sporting CP,DF
Lucas Anjos,20,Sporting CP,FW
Diego Callai,20,Sporting CP,GK
Luís Gomes,20,Sporting CP,FW
Manuel Mendonça,19,Sporting CP,MF
Rafael Nel,19,Sporting CP,FW
Kauã Pinto,20,Sporting CP,MF
Bruno Ramos,19,Sporting CP,DF
Francisco Silva,18,Sporting CP,GK
Gabriel Silva,17,Sporting CP,FW
Brandon Mechele,31,Club Brugge,DF
Hans Vanaken,31,Club Brugge,MF
Simon Mignolet,36,Club Brugge,GK
Christos Tzolis,22,Club Brugge,MF
Maxim De Cuyper,23,Club Brugge,DF
Ardon Jashari,22,Club Brugge,MF
Joel Ordóñez,20,Club Brugge,DF
Raphael Onyedika,23,Club Brugge,MF
Joaquin Seys,19,Club Brugge,DF
Gustaf Nilsson,27,Club Brugge,FW
Hugo Vetlesen,24,Club Brugge,MF
Ferran Jutglà,25,Club Brugge,FW
Kyriani Sabbe,19,Club Brugge,DF
Andreas Skov Olsen,24,Club Brugge,MF
Chemsdine Talbi,19,Club Brugge,MF
Romeo Vermant,20,Club Brugge,FW
Hugo Siquet,22,Club Brugge,DF
Zaid Romero,24,Club Brugge,DF
Casper Nielsen,30,Club Brugge,MF
Nordin Jackers,26,Club Brugge,GK
Jorne Spileers,19,Club Brugge,DF
Michał Skóraś,24,Club Brugge,MF
Bjorn Meijer,21,Club Brugge,DF
Antonio Nusa,19,Club Brugge,MF
Shandre Campbell,19,Club Brugge,MF
Lynnt Audoor,20,Club Brugge,MF
Axl De Corte,18,Club Brugge,GK
Denzel De Roeve,19,Club Brugge,DF
Dani van den Heuvel,21,Club Brugge,GK
Amine Et-Taibi,21,Club Brugge,DF
Kaye Furo,17,Club Brugge,FW
Vince Osuji,18,Club Brugge,DF
Marko Pjaca,29,Dinamo Zagreb,MF
Martin Baturina,21,Dinamo Zagreb,MF
Ronaël Pierre-Gabriel,26,Dinamo Zagreb,DF
Josip Mišić,30,Dinamo Zagreb,MF
Ivan Nevistić,26,Dinamo Zagreb,GK
Kévin Théophile-Catherine,34,Dinamo Zagreb,DF
Sandro Kulenović,24,Dinamo Zagreb,FW
Stefan Ristovski,32,Dinamo Zagreb,DF
Petar Sučić,20,Dinamo Zagreb,MF
Raúl Torrente,22,Dinamo Zagreb,DF
Luka Stojkovic,20,Dinamo Zagreb,MF
Bartol Franjić,24,Dinamo Zagreb,DF
Samy Mmaee,27,Dinamo Zagreb,DF
Arbër Hoxha,25,Dinamo Zagreb,MF
Arijan Ademi,33,Dinamo Zagreb,MF
Niko Galesic,23,Dinamo Zagreb,DF
Wilfried Kanga,26,Dinamo Zagreb,FW
Danijel Zagorac,37,Dinamo Zagreb,GK
Bruno Petković,29,Dinamo Zagreb,FW
Maxime Bernauer,26,Dinamo Zagreb,DF
Juan Córdoba,21,Dinamo Zagreb,MF
Dario Špikić,25,Dinamo Zagreb,MF
Lukas Kačavenda,21,Dinamo Zagreb,MF
Marko Rog,29,Dinamo Zagreb,MF
Takuya Ogiwara,24,Dinamo Zagreb,DF
Nikola Čavlina,22,Dinamo Zagreb,GK
Nathanaël Mbuku,22,Dinamo Zagreb,MF
Sadegh Moharrami,28,Dinamo Zagreb,DF
Branko Pavić,17,Dinamo Zagreb,MF
Leon Belcar,22,Dinamo Zagreb,MF
Petar Bočkaj,28,Dinamo Zagreb,MF
Luka Vrbančić,19,Dinamo Zagreb,MF
Noa Mikić,17,Dinamo Zagreb,DF
Leon Jakirovic,16,Dinamo Zagreb,FW
Mauro Perkovic,21,Dinamo Zagreb,DF
Dino Perić,30,Dinamo Zagreb,DF
Mislav Čutuk,17,Dinamo Zagreb,FW
Tomas Baković,18,Dinamo Zagreb,MF
Leo Rimac,18,Dinamo Zagreb,FW
Fallou Faye,18,Dinamo Zagreb,MF
Ivan Filipović,29,Dinamo Zagreb,GK
Jan Oliveras,20,Dinamo Zagreb,DF
Borna Orlić,17,Dinamo Zagreb,DF
Antonio Rajić,17,Dinamo Zagreb,GK
Alexander Nübel,27,Stuttgart,GK
Angelo Stiller,23,Stuttgart,MF
Atakan Karazor,27,Stuttgart,MF
Maximilian Mittelstädt,27,Stuttgart,DF
Julian Chabot,26,Stuttgart,DF
Chris Führich,26,Stuttgart,MF
Enzo Millot,22,Stuttgart,MF
Jamie Leweling,23,Stuttgart,MF
Ermedin Demirović,26,Stuttgart,FW
Deniz Undav,28,Stuttgart,FW
Josha Vagnoman,23,Stuttgart,DF
Nick Woltemade,22,Stuttgart,FW
Anthony Rouault,23,Stuttgart,DF
Leonidas Stergiou,22,Stuttgart,DF
Ramon Hendriks,23,Stuttgart,DF
Finn Jeltsch,18,Stuttgart,DF
Fabian Rieder,22,Stuttgart,MF
Anrie Chase,20,Stuttgart,DF
Ameen Al-Dakhil,22,Stuttgart,DF
Pascal Stenzel,28,Stuttgart,DF
Jacob Bruun Larsen,25,Stuttgart,MF
El Bilal Touré,22,Stuttgart,FW
Yannik Keitel,24,Stuttgart,MF
Luca Jaquez,21,Stuttgart,DF
Frans Krätzig,21,Stuttgart,DF
Justin Diehl,19,Stuttgart,MF
Dan-Axel Zagadou,25,Stuttgart,DF
Nikolas Nartey,24,Stuttgart,MF
Jarzinho Malanga,18,Stuttgart,MF
Fabian Bredlow,29,Stuttgart,GK
Stefan Drljača,25,Stuttgart,GK
Silas Katompa,25,Stuttgart,FW
Valerii Bondar,25,Shakhtar Donetsk,DF
Artem Bondarenko,23,Shakhtar Donetsk,MF
Dmytro Riznyk,25,Shakhtar Donetsk,GK
Heorhiy Sudakov,21,Shakhtar Donetsk,MF
Mykola Matviyenko,28,Shakhtar Donetsk,DF
Kevin,21,Shakhtar Donetsk,MF
Dmytro Kryskiv,23,Shakhtar Donetsk,MF
Pedro Henrique,22,Shakhtar Donetsk,DF
Vinicius Tobias,20,Shakhtar Donetsk,DF
Marlon Gomes,20,Shakhtar Donetsk,MF
Pedrinho,26,Shakhtar Donetsk,MF
Eguinaldo,19,Shakhtar Donetsk,FW
Yukhym Konoplia,24,Shakhtar Donetsk,DF
Irakli Azarov,22,Shakhtar Donetsk,DF
Oleksandr Zubkov,27,Shakhtar Donetsk,MF
Lassina Franck Traoré,23,Shakhtar Donetsk,FW
Danylo Sikan,23,Shakhtar Donetsk,FW
Newerton,19,Shakhtar Donetsk,MF
Alaa Ghram,23,Shakhtar Donetsk,DF
Kiril Fesiun,21,Shakhtar Donetsk,GK
Yehor Nazaryna,27,Shakhtar Donetsk,MF
Maryan Shved,27,Shakhtar Donetsk,MF
Kauã Elias,18,Shakhtar Donetsk,FW
Alisson,18,Shakhtar Donetsk,MF
Bartol Franjić,24,Shakhtar Donetsk,DF
Maryan Faryna,20,Shakhtar Donetsk,DF
Taras Stepanenko,34,Shakhtar Donetsk,MF
Denys Tvardovskyi,21,Shakhtar Donetsk,GK
Viktor Tsukanov,18,Shakhtar Donetsk,MF
Anton Hlushchenko,20,Shakhtar Donetsk,MF
Diego Arroyo,19,Shakhtar Donetsk,DF
Mykola Oharkov,19,Shakhtar Donetsk,DF
Tymur Puzankov,21,Shakhtar Donetsk,GK
,,,Pl
Player,Pos,Age,Na
Remo Freuler,32,Bologna,MF
Sam Beukema,25,Bologna,DF
Jhon Lucumí,26,Bologna,DF
Łukasz Skorupski,33,Bologna,GK
Santiago Castro,19,Bologna,FW
Dan Ndoye,23,Bologna,MF
Juan Miranda,24,Bologna,DF
Jens Odgaard,25,Bologna,MF
Riccardo Orsolini,27,Bologna,MF
Benjamín Domínguez,20,Bologna,MF
Nikola Moro,26,Bologna,MF
Tommaso Pobega,25,Bologna,MF
Lorenzo De Silvestri,36,Bologna,DF
Emil Holm,24,Bologna,DF
Babis Lykogiannis,30,Bologna,DF
Thijs Dallinga,23,Bologna,FW
Federico Ravaglia,24,Bologna,GK
Lewis Ferguson,24,Bologna,MF
Giovanni Fabbian,21,Bologna,MF
Nicolò Casale,26,Bologna,DF
Michel Aebischer,27,Bologna,MF
Stefan Posch,27,Bologna,DF
Davide Calabria,27,Bologna,DF
Martin Erlić,26,Bologna,DF
Nicolò Cambiaghi,23,Bologna,MF
Jesper Karlsson,26,Bologna,MF
Kacper Urbanski,19,Bologna,MF
Samuel Iling-Junior,20,Bologna,MF
Oussama El Azzouzi,23,Bologna,MF
Estanis,20,Bologna,FW
Nicola Bagnolini,20,Bologna,GK
Naïm Byar,19,Bologna,MF
Tommaso Corazza,20,Bologna,MF
Mihajlo Ilić,21,Bologna,DF
Massimo Pessina,16,Bologna,GK
,,,Pl
Player,Pos,Age,Na
Seol Young-woo,25,Red Star,DF
Timi Elšnik,26,Red Star,MF
Guélor Kanga,33,Red Star,MF
Cherif Ndiaye,28,Red Star,FW
Bruno Duarte,28,Red Star,FW
Luka Ilić,25,Red Star,MF
Rade Krunić,30,Red Star,DF
Mirko Ivanić,30,Red Star,MF
Milson,24,Red Star,MF
Andrija Maksimović,17,Red Star,MF
Milan Rodić,33,Red Star,DF
Nasser Djiga,21,Red Star,DF
Ivan Guteša,22,Red Star,GK
Ebenezer Annan,21,Red Star,DF
Aleksandar Katai,33,Red Star,MF
Andrej Đurić,20,Red Star,DF
Omri Glazer,28,Red Star,GK
Veljko Milosavljević,17,Red Star,DF
Ognjen Mimovic,19,Red Star,DF
Silas Katompa,25,Red Star,MF
Marko Ilić,26,Red Star,GK
Vanja Drkušič,24,Red Star,DF
Dálcio,28,Red Star,FW
Stefan Lekovic,20,Red Star,DF
Uroš Spajić,31,Red Star,DF
Jovan Šljivić,18,Red Star,MF
Egor Prutsev,21,Red Star,MF
Hwang In-beom,27,Red Star,MF
Peter Olayinka,28,Red Star,FW
Nemanja Radonjić,28,Red Star,MF
José Luis Rodríguez,26,Red Star,FW
Nemanja Stojić,26,Red Star,DF
Savo Radanović,15,Red Star,GK
Strahinja Stojković,17,Red Star,DF
Keimer Sandoval,18,Red Star,DF
Lazar Jovanović,17,Red Star,FW
Srđan Mijailović,30,Red Star,MF
Vasilije Kostov,16,Red Star,MF
Miloš Degenek,30,Red Star,DF
Vuk Draškić,17,Red Star,GK
Moustapha Fall,19,Red Star,DF
Nikola Knezevic,21,Red Star,MF
Uroš Sremčević,18,Red Star,FW
David Đurić,18,Red Star,DF
Kjell Scherpen,24,Sturm Graz,GK
Otar Kiteishvili,28,Sturm Graz,MF
Dimitri Lavalée,27,Sturm Graz,DF
William Bøving,21,Sturm Graz,FW
Emanuel Aiwum,23,Sturm Graz,DF
Jon Gorenc Stanković,28,Sturm Graz,MF
Malick Yalcouye,18,Sturm Graz,MF
Tomi Horvat,25,Sturm Graz,MF
Gregory Wüthrich,29,Sturm Graz,DF
Max Johnston,20,Sturm Graz,DF
Mika Biereth,21,Sturm Graz,FW
Seedy Jatta,21,Sturm Graz,FW
Jusuf Gazibegović,24,Sturm Graz,DF
Tochi Chukwuani,21,Sturm Graz,MF
Niklas Geyrhofer,24,Sturm Graz,DF
Leon Grgic,18,Sturm Graz,FW
Emir Karic,27,Sturm Graz,DF
Amady Camara,19,Sturm Graz,FW
Lovro Zvonarek,19,Sturm Graz,FW
Arjan Malic,18,Sturm Graz,DF
Erencan Yardimci,22,Sturm Graz,FW
Daniil Khudiakov,20,Sturm Graz,GK
Stefan Hierländer,33,Sturm Graz,MF
Emran Soglo,19,Sturm Graz,DF
Fally Mayulu,22,Sturm Graz,FW
Jacob Hodl,17,Sturm Graz,MF
Belmin Beganovic,19,Sturm Graz,FW
Manprit Sarkaria,27,Sturm Graz,FW
Peter Kiedl,20,Sturm Graz,FW
Konstantin Schopp,18,Sturm Graz,DF
Matteo Bignetti,20,Sturm Graz,GK
Peter Vindahl Jensen,26,Sparta Prague,GK
Filip Panák,28,Sparta Prague,DF
Jaroslav Zelený,31,Sparta Prague,DF
Martin Vitík,21,Sparta Prague,DF
Lukáš Sadílek,28,Sparta Prague,MF
Qazim Laçi,28,Sparta Prague,MF
Kaan Kairinen,25,Sparta Prague,MF
Asger Sørensen,28,Sparta Prague,DF
Lukáš Haraslín,28,Sparta Prague,FW
Jan Kuchta,27,Sparta Prague,FW
Matěj Ryneš,23,Sparta Prague,MF
Martin Suchomel,21,Sparta Prague,MF
Tomáš Wiesner,27,Sparta Prague,MF
Ermal Krasniqi,25,Sparta Prague,MF
Albion Rrahmani,23,Sparta Prague,FW
Veljko Birmančević,26,Sparta Prague,FW
Emannuel Uchenna,20,Sparta Prague,DF
Victor Olatunji,24,Sparta Prague,FW
Elias Cobbaut,26,Sparta Prague,DF
Mathias Ross,23,Sparta Prague,DF
Ángelo Preciado,26,Sparta Prague,MF
Patrik Vydra,21,Sparta Prague,MF
Kryštof Daněk,21,Sparta Prague,MF
Markus Solbakken,24,Sparta Prague,MF
Indrit Tuci,23,Sparta Prague,FW
Magnus Kofod Andersen,25,Sparta Prague,MF
Jakub Pesek,31,Sparta Prague,MF
Adam Sevinsky,20,Sparta Prague,DF
David Pavelka,33,Sparta Prague,MF
Imanol,24,Sparta Prague,MF
Radek Siler,19,Sparta Prague,FW
Lukáš Penxa,20,Sparta Prague,MF
Roman Horák,19,Sparta Prague,MF
Jesse Heerkens,18,Sparta Prague,GK
Ondřej Kukučka,20,Sparta Prague,DF
Roman Mokrovics,18,Sparta Prague,MF
Jakub Surovčík,22,Sparta Prague,GK
Dalibor Večerka,21,Sparta Prague,DF
Vojtěch Vorel,28,Sparta Prague,GK
Péter Gulácsi,34,RB Leipzig,GK
Benjamin Šeško,21,RB Leipzig,FW
Loïs Openda,24,RB Leipzig,FW
Willi Orban,31,RB Leipzig,DF
Xavi Simons,21,RB Leipzig,MF
David Raum,26,RB Leipzig,MF
Nicolas Seiwald,23,RB Leipzig,MF
Lukas Klostermann,28,RB Leipzig,DF
Christoph Baumgartner,24,RB Leipzig,MF
Kevin Kampl,33,RB Leipzig,MF
Castello Lukeba,21,RB Leipzig,DF
Arthur Vermeeren,19,RB Leipzig,MF
Lutsharel Geertruida,24,RB Leipzig,DF
Antonio Nusa,19,RB Leipzig,MF
Amadou Haidara,26,RB Leipzig,MF
Ridle Baku,26,RB Leipzig,MF
El Chadaille Bitshiabu,19,RB Leipzig,DF
Benjamin Henrichs,27,RB Leipzig,DF
Kosta Nedeljković,18,RB Leipzig,DF
Maarten Vandevoordt,22,RB Leipzig,GK
Yussuf Poulsen,30,RB Leipzig,MF
Xaver Schlager,26,RB Leipzig,MF
Tidiam Gomis,17,RB Leipzig,FW
Mohamed Simakan,24,RB Leipzig,DF
André Silva,28,RB Leipzig,FW
Assan Ouédraogo,18,RB Leipzig,MF
Elif Elmas,24,RB Leipzig,FW
Viggo Gebel,16,RB Leipzig,MF
Faik Sakar,16,RB Leipzig,MF
Nuha Jatta,18,RB Leipzig,MF
Jonathan Norbye,17,RB Leipzig,DF
Robert Ramsak,17,RB Leipzig,FW
Lionel Voufack,16,RB Leipzig,DF
Mika Walther,16,RB Leipzig,MF
Leopold Zingerle,30,RB Leipzig,GK
Paulo Gazzaniga,32,Girona,GK
Daley Blind,34,Girona,DF
Arnau Martinez,21,Girona,DF
Miguel Gutiérrez,23,Girona,DF
Ladislav Krejčí,25,Girona,DF
David López,34,Girona,DF
Yangel Herrera,26,Girona,MF
Iván Martín,25,Girona,MF
Viktor Tsyhankov,26,Girona,MF
Bryan Gil,23,Girona,MF
Oriol Romeu,32,Girona,MF
Abel Ruiz,24,Girona,FW
Donny van de Beek,27,Girona,MF
Yaser Asprilla,20,Girona,MF
Arnaut Danjuma,27,Girona,MF
Alejandro Francés,21,Girona,DF
Bojan Miovski,25,Girona,FW
Arthur Melo,27,Girona,MF
Juanpe,33,Girona,DF
Cristhian Stuani,37,Girona,FW
Portu,32,Girona,FW
Jhon Solis,19,Girona,MF
Vladyslav Krapyvtsov,19,Girona,GK
Silvi Clúa,19,Girona,MF
Gabriel Osei Misehouy,19,Girona,FW
Iker Almena,20,Girona,MF
Papa Ba,19,Girona,FW
Pau López,29,Girona,GK
Kim Minsu,18,Girona,FW
Ferrán Ruiz,21,Girona,DF
Juan Carlos,36,Girona,GK
Aleksandar Andreev,18,Girona,GK
Ricard Artero,21,Girona,MF
Dawda Camara,21,Girona,FW
Enric García,18,Girona,MF
Jastin García,20,Girona,FW
Lucas García,20,Girona,GK
Raúl Martínez,22,Girona,MF
Joel Roca,19,Girona,FW
Toni Villa,29,Girona,MF
Antal Yaakobishvili,20,Girona,DF
Samson Baidoo,20,Red Bull Salzburg,DF
Mads Bidstrup,23,Red Bull Salzburg,MF
Nene Dorgeles,21,Red Bull Salzburg,MF
Oscar Gloukh,20,Red Bull Salzburg,MF
Alexander Schlager,28,Red Bull Salzburg,GK
Nicolás Capaldo,25,Red Bull Salzburg,MF
Adam Daghim,18,Red Bull Salzburg,FW
Aleksa Terzić,24,Red Bull Salzburg,DF
Kouakou Gadou,17,Red Bull Salzburg,DF
Moussa Kounfolo Yeo,20,Red Bull Salzburg,MF
Yorbe Vertessen,23,Red Bull Salzburg,FW
Leandro Morgalla,19,Red Bull Salzburg,DF
Kamil Piątkowski,24,Red Bull Salzburg,DF
Janis Blaswich,33,Red Bull Salzburg,GK
Mamady Diambou,21,Red Bull Salzburg,MF
Amar Dedić,21,Red Bull Salzburg,DF
Karim Konaté,20,Red Bull Salzburg,FW
Petar Ratkov,20,Red Bull Salzburg,FW
Bobby Clark,19,Red Bull Salzburg,MF
Stefan Bajcetic,19,Red Bull Salzburg,MF
Karim Onisiwo,32,Red Bull Salzburg,FW
Hendry Blank,19,Red Bull Salzburg,DF
Daouda Guindo,21,Red Bull Salzburg,DF
Maurits Kjærgaard,21,Red Bull Salzburg,MF
Valentin Sulzbacher,19,Red Bull Salzburg,MF
Tim Trummer,18,Red Bull Salzburg,DF
Lucas Gourna-Douath,20,Red Bull Salzburg,MF
John Mellberg,18,Red Bull Salzburg,DF
Takumu Kawamura,24,Red Bull Salzburg,MF
Edmund Baidoo,18,Red Bull Salzburg,MF
Maximiliano Caufriez,27,Red Bull Salzburg,DF
Ignace Van Der Brempt,22,Red Bull Salzburg,DF
Jannik Schuster,18,Red Bull Salzburg,DF
Salko Hamzic,17,Red Bull Salzburg,GK
Jonas Krumrey,20,Red Bull Salzburg,GK
Bryan Okoh,21,Red Bull Salzburg,DF
Lassina Traoré,17,Red Bull Salzburg,DF
Christian Zawieschitzky,17,Red Bull Salzburg,GK
Dominik Takáč,25,Slovan Bratislava,GK
César Blackman,26,Slovan Bratislava,DF
Kenan Bajrić,29,Slovan Bratislava,DF
Guram Kashia,37,Slovan Bratislava,DF
Dávid Strelec,23,Slovan Bratislava,FW
Kyriakos Savvidis,29,Slovan Bratislava,MF
Tigran Barseghyan,30,Slovan Bratislava,MF
Marko Tolić,28,Slovan Bratislava,MF
Kevin Wimmer,31,Slovan Bratislava,DF
Danylo Ihnatenko,27,Slovan Bratislava,MF
Nino Marcelli,19,Slovan Bratislava,MF
Sharani Zuberu,24,Slovan Bratislava,DF
Siemen Voet,24,Slovan Bratislava,DF
Juraj Kucka,37,Slovan Bratislava,MF
Róbert Mak,33,Slovan Bratislava,FW
Jurij Medvedev,28,Slovan Bratislava,MF
Vladimír Weiss,34,Slovan Bratislava,FW
Idjessi Metsoko,22,Slovan Bratislava,FW
Július Szöke,28,Slovan Bratislava,MF
Alen Mustafić,25,Slovan Bratislava,MF
Artur Gajdoš,20,Slovan Bratislava,MF
Lukáš Pauschek,31,Slovan Bratislava,DF
Matúš Vojtko,23,Slovan Bratislava,MF
Adam Hrdina,20,Slovan Bratislava,GK
Elvis Isaac,21,Slovan Bratislava,FW
Maxim Mateas,16,Slovan Bratislava,MF
Andrej Mikolás,19,Slovan Bratislava,GK
Martin Mišovič,20,Slovan Bratislava,FW
Martin Trnovský,24,Slovan Bratislava,GK
Filip Ugrinic,25,Young Boys,MF
Jaouen Hadjam,21,Young Boys,DF
Loris Benito,32,Young Boys,DF
Sandro Lauper,27,Young Boys,DF
Joel Monteiro,24,Young Boys,MF
Marvin Keller,22,Young Boys,GK
Lewin Blum,23,Young Boys,DF
Cedric Itten,27,Young Boys,FW
Zachary Athekame,19,Young Boys,DF
Darian Males,23,Young Boys,MF
Alan Virginius,21,Young Boys,MF
Christian Fassnacht,30,Young Boys,MF
David von Ballmoos,29,Young Boys,GK
Rayan Raveloson,27,Young Boys,MF
Łukasz Łakomy,23,Young Boys,MF
Mohamed Aly Camara,26,Young Boys,DF
Chris Bedia,28,Young Boys,FW
Ebrima Colley,24,Young Boys,MF
Tanguy Zoukrou,21,Young Boys,DF
Silvère Ganvoula M'Boussy,28,Young Boys,FW
Meschak Elia,26,Young Boys,FW
Cheikh Niasse,24,Young Boys,MF
Abdu Conté,26,Young Boys,DF
Anel Husic,23,Young Boys,DF
Kastriot Imeri,24,Young Boys,MF
Miguel Chaiwa,20,Young Boys,MF
Noah Persson,21,Young Boys,DF
Emanuel Tsimba,18,Young Boys,FW
Sadin Crnovrsanin,22,Young Boys,DF
Donat Rrudhani,25,Young Boys,MF
Joel Bichsel,22,Young Boys,DF
Jacques Bomo,18,Young Boys,MF
Facinet Conte,19,Young Boys,FW
Lutfi Dalipi,18,Young Boys,MF
Théo Golliard,21,Young Boys,MF
Lorin Jetzer,18,Young Boys,DF
Janis Lüthi,19,Young Boys,FW
Dario Marzino,27,Young Boys,GK
Patric Pfeiffer,24,Young Boys,DF
Rhodri Smith,17,Young Boys,DF
